ID,Traditional,Simplified,Pinyin,POS,Meaning,Category,Subcategory
L0-109,八,八,bā,Num,eight,數量,數字
L0-110,九,九,jiǔ,Num,nine,數量,數字
L0-111,十,十,shí,Num,ten,數量,數字
L0-112,百,百,bǎi,Num,hundred,數量,數字
L0-113,每,每,měi,Det,every,數量,數量
L0-114,多,多,duō,Vs,a lot,數量,數量
L0-115,少,少,shǎo,Vs,"few, little",數量,數量
L0-116,數,数,shǔ,V,to count,數量,數量
L0-117,剩下,剩下,shèngxià,V,to remain,數量,數量
L0-118,歲,岁,suì,N,"age, year old",數量,數量
L0-119,一起,一起,yìqǐ,Adv,together,數量,數量
L0-120,本,本,běn,M,"individual measure word for books or magazines, etc.",數量,數量
L0-121,頁,页,yè,N/M,page; partial measure word for one side of a book or magazine,數量,數量
L0-122,次,次,cì,M,measure word for the number of repetitions in a given period of time,數量,數量
L0-123,種,种,zhǒng,M/V,collective measure word for things of the same kind; to grow (plants),數量,數量
L0-123,種,种,zhòng,M/V,collective measure word for things of the same kind; to grow (plants),數量,數量
L0-124,朵,朵,duǒ,M,individual measure word for flowers or clouds,數量,數量
L0-125,塊,块,kuài,M,"partial measure word for lumps of foodstuff, for regular-shaped products, and for chinese currency",數量,數量
L0-126,個,个,ge,M,general measure word for individuals,數量,數量
L0-127,隻,只,zhī,M,measre word for one of the symetrical limbs or organs of people or animals and for insects or animals,數量,數量
L0-128,元,元,yuán,N,dollar,數量,金錢
L0-129,錢,钱,qián,N,money,數量,金錢
L0-130,買,买,mǎi,V,to buy,數量,金錢
L0-131,多少,多少,duōshǎo,N,how much,數量,金錢
L0-133,最,最,zuì,Adv,most,程度,程度
L0-134,好,好,hǎo,Adv/Vs,"very, quite; good",程度,程度
L0-135,太,太,tài,Adv,"too, extremely, very",程度,程度
L0-136,很,很,hěn,Adv,"very, quite, awfully",程度,程度
L0-137,真,真,zhēn,Adv,"really, truly",程度,程度
L0-138,非常,非常,fēicháng,Adv,"specially, very, extremely",程度,程度
L0-139,一樣,一样,yíyàng,Adv,same,程度,程度
L0-141,年,年,nián,N,year,時間,年月日星期
L0-142,月,月,yuè,N,month,時間,年月日星期
L0-143,日,日,rì,N,day,時間,年月日星期
L0-144,號,号,hào,N,number,時間,年月日星期
L0-145,天,天,tiān,N,day,時間,年月日星期
L0-146,星期,星期,xīngqí,N,week,時間,年月日星期
L0-146,星期,星期,xīngqī,N,week,時間,年月日星期
L0-147,星期天,星期天,xīngqítiān,N/Adv,Sunday,時間,年月日星期
L0-147,星期天,星期天,xīngqītiān,N/Adv,Sunday,時間,年月日星期
L0-147,星期日,星期日,xīngqírì,N/Adv,Sunday,時間,年月日星期
L0-147,星期日,星期日,xīngqīrì,N/Adv,Sunday,時間,年月日星期
L0-148,今天,今天,jīntiān,N/Adv,today,時間,年月日星期
L0-149,明天,明天,míngtiān,N/Adv,tomorrow,時間,年月日星期
L0-150,昨天,昨天,zuótiān,N/Adv,yesterday,時間,年月日星期
L0-151,假日,假日,jiàrì,N,holiday,時間,年月日星期
L0-152,早,早,zǎo,Vs/Adv,early,時間,時間
L0-153,先,先,xiān,Adv,"earlier, before",時間,時間
L0-154,早上,早上,zǎoshang,N/Adv,morning,時間,時間
L0-155,上午,上午,shàngwǔ,N/Adv,morning,時間,時間
L0-156,中午,中午,zhōngwǔ,N/Adv,noon,時間,時間
L0-157,下午,下午,xiàwǔ,N/Adv,afternoon,時間,時間
L0-158,晚上,晚上,wǎnshang,N/Adv,"evening, night",時間,時間
L0-159,現在,现在,xiànzài,Adv,now,時間,時間
L0-160,開始,开始,kāishǐ,V,"to begin, to start",時間,時間
L0-161,幾,几,jǐ,Det,several,時間,時間
L0-162,點,点,diǎn,N,o'clock,時間,時間
L0-163,分,分,fēn,N,minute,時間,時間
L0-164,半,半,bàn,N,half an hour,時間,時間
L0-165,一下子,一下子,yíxiàzi,Adv,in a short while,時間,時間
L0-166,再,再,zài,Conj/Adv,again,時間,時間
L0-167,就,就,jiù,Conj/Adv,then (refers to both time and cause-effect relationship),時間,時間
L0-168,等,等,děng,V,to wait,時間,時間
L0-169,快,快,kuài,Vs,"soon, quick, fast",時間,時間
L0-170,著,着,zhe,Asp,aspect marker used to indicate events that are durative,時間,時間
L0-171,了,了,le,Asp,aspect marker used to indicate events undergone a certain change of state,時間,時間
L0-173,顏色,颜色,yánsè,N,color,形色,顏色
L0-174,白色,白色,báisè,N,white,形色,顏色
L0-175,黃色,黄色,huángsè,N,yellow,形色,顏色
L0-176,黑色,黑色,hēisè,N,black,形色,顏色
L0-177,綠色,绿色,lǜsè,N,green,形色,顏色
L0-178,藍色,蓝色,lánsè,N,blue,形色,顏色
L0-179,紅色,红色,hóngsè,N,red,形色,顏色
L0-180,亮,亮,liàng,Vs,bright,形色,顏色
L0-181,小,小,xiǎo,Vs,"small, little",形色,尺寸
L0-182,大,大,dà,Vs,big,形色,尺寸
L0-183,長,长,cháng,Vs/V,long; to grow,形色,尺寸
L0-183,長,长,zhǎng,Vs/V,long; to grow,形色,尺寸
L0-184,高,高,gāo,Vs,high,形色,尺寸
L0-185,短,短,duǎn,Vs,"short, brief",形色,尺寸
L0-186,矮,矮,ǎi,Vs,short,形色,尺寸
L0-187,圓,圆,yuán,Vs/N,round; circle,形色,形狀
L0-187,圓形,圆形,yuánxíng,Vs/N,round; circle,形色,形狀
L0-188,三角形,三角形,sānjiǎoxíng,N,triangle,形色,形狀
L0-189,正方形,正方形,zhèngfāngxíng,N,square,形色,形狀
L0-190,長方形,长方形,chángfāngxíng,N,rectangle,形色,形狀
L0-192,衣服,衣服,yīfu,N,clothes,生活,衣物飾品
L0-193,帽,帽,mào,N,hat,生活,衣物飾品
L0-193,帽子,帽子,màozi,N,hat,生活,衣物飾品
L0-194,毛衣,毛衣,máoyī,N,sweater,生活,衣物飾品
L0-195,外套,外套,wàitào,N,coat,生活,衣物飾品
L0-196,裙,裙,qún,N,"skirt, petticoat",生活,衣物飾品
L0-196,裙子,裙子,qúnzi,N,"skirt, petticoat",生活,衣物飾品
L0-197,褲,裤,kù,N,pants,生活,衣物飾品
L0-197,褲子,裤子,kùzi,N,pants,生活,衣物飾品
L0-198,鞋,鞋,xié,N,shoes,生活,衣物飾品
L0-198,鞋子,鞋子,xiézi,N,shoes,生活,衣物飾品
L0-199,襪,袜,wà,N,socks,生活,衣物飾品
L0-199,襪子,袜子,wàzi,N,socks,生活,衣物飾品
L0-200,皮包,皮包,píbāo,N,leather handbag,生活,衣物飾品
L0-201,穿,穿,chuān,V,"to wear, to put on",生活,衣物飾品
L0-202,戴,戴,dài,V,"to wear, to put on",生活,衣物飾品
L0-203,門,门,mén,N,door,生活,居家用品
L0-204,窗,窗,chuāng,N,window,生活,居家用品
L0-204,窗戶,窗户,chuānghu,N,window,生活,居家用品
L0-205,衣櫃,衣柜,yīguì,N,closet,生活,居家用品
L0-206,櫃,柜,guì,N,cabinet,生活,居家用品
L0-206,櫃子,柜子,guìzi,N,cabinet,生活,居家用品
L0-207,床,床,chuáng,N,bed,生活,居家用品
L0-208,燈,灯,dēng,N,lamp,生活,居家用品
L0-209,桌,桌,zhuō,N,table,生活,居家用品
L0-209,桌子,桌子,zhuōzi,N,table,生活,居家用品
L0-210,椅,椅,yǐ,N,chair,生活,居家用品
L0-210,椅子,椅子,yǐzi,N,chair,生活,居家用品
L0-211,冷氣,冷气,lěngqì,N,air conditioner,生活,居家用品
L0-212,冰箱,冰箱,bīngxiāng,N,refrigerator,生活,居家用品
L0-213,棉被,棉被,miánbèi,N,quilt,生活,居家用品
L0-214,電話,电话,diànhuà,N,telephone,生活,居家用品
L0-215,電視,电视,diànshì,N,"television, TV",生活,居家用品
L0-216,電腦,电脑,diànnǎo,N,computer,生活,居家用品
L0-217,洗衣機,洗衣机,xǐyījī,N,washing machine,生活,居家用品
L0-218,刀,刀,dāo,N,knife,生活,居家用品
L0-218,刀子,刀子,dāozi,N,knife,生活,居家用品
L0-219,叉子,叉子,chāzi,N,fork,生活,居家用品
L0-220,杯,杯,bēi,M,"cup, glass; a cup of",生活,居家用品
L0-220,杯子,杯子,bēizi,N,"cup, glass; a cup of",生活,居家用品
L0-221,筷,筷,kuài,N,chopsticks,生活,居家用品
L0-221,筷子,筷子,kuàizi,N,chopsticks,生活,居家用品
L0-222,碗,碗,wǎn,N,bowl; measure word for servings of food,生活,居家用品
L0-223,水壺,水壶,shuǐhú,N,"pitcher, kettle, canteen, water bottle",生活,居家用品
L0-224,花瓶,花瓶,huāpíng,N,vase,生活,居家用品
L0-225,手錶,手表,shǒubiǎo,N,watch,生活,居家用品
L0-226,鐘,钟,zhōng,N,"bell, clock",生活,居家用品
L0-227,傘,伞,sǎn,N,umbrella,生活,居家用品
L0-227,雨傘,雨伞,yǔsǎn,N,umbrella,生活,居家用品
L0-228,照片,照片,zhàopiàn,N,"photo, picture",生活,居家用品
L0-229,照相機,照相机,zhàoxiàngjī,N,camera,生活,居家用品
L0-229,照像機,照像机,zhàoxiàngjī,N,camera,生活,居家用品
L0-230,新,新,xīn,Vs,new,生活,居家活動
L0-231,髒,脏,zāng,Vs,dirty,生活,居家活動
L0-232,破,破,pò,Vs,to break apart,生活,居家活動
L0-233,洗,洗,xǐ,V,to wash,生活,居家活動
L0-234,開,开,kāi,V,to open,生活,居家活動
L0-234,打開,打开,dǎkāi,V,to open,生活,居家活動
L0-235,起床,起床,qǐchuáng,V,to get up,生活,居家活動
L0-236,照相,照相,zhàoxiàng,V,"to take a picture, to take a photograph",生活,居家活動
L0-236,照像,照像,zhàoxiàng,V,"to take a picture, to take a photograph",生活,居家活動
L0-237,肉,肉,ròu,N,meat,生活,飲食
L0-238,菜,菜,cài,N,dish; vegetable,生活,飲食
L0-239,蛋,蛋,dàn,N,egg,生活,飲食
L0-240,麵,面,miàn,N,noodles,生活,飲食
L0-241,飯,饭,fàn,N,rice,生活,飲食
L0-241,米,米,mǐfàn,N,rice,生活,飲食
L0-242,餃,饺,jiǎo,N,dumplings,生活,飲食
L0-242,餃子,饺子,jiǎozi,N,dumplings,生活,飲食
L0-243,湯,汤,tāng,N,soup,生活,飲食
L0-244,漢堡,汉堡,hànbǎo,N,hamburger,生活,飲食
L0-245,熱狗,热狗,règǒu,N,hot dog,生活,飲食
L0-246,餅乾,饼干,bǐnggān,N,"biscuit, cracker, cookie",生活,飲食
L0-247,蛋糕,蛋糕,dàngāo,N,cake,生活,飲食
L0-248,麵包,面包,miànbāo,N,bread,生活,飲食
L0-249,三明治,三明治,sānmíngzhì,N,sandwich,生活,飲食
L0-250,冰淇淋,冰淇淋,bīngqílín,N,ice cream,生活,飲食
L0-251,餐,餐,cān,N,meal,生活,飲食
L0-252,飲料,饮料,yǐnliào,N,"drink, beverage",生活,飲食
L0-253,茶,茶,chá,N,tea,生活,飲食
L0-254,牛奶,牛奶,niúnǎi,N,milk,生活,飲食
L0-255,可樂,可乐,kělè,N,coke,生活,飲食
L0-256,汽水,汽水,qìshuǐ,N,soft drink,生活,飲食
L0-257,果汁,果汁,guǒzhī,N,juice,生活,飲食
L0-258,水果,水果,shuǐguǒ,N,fruit,生活,飲食
L0-259,橘,橘,jú,N,tangerine,生活,飲食
L0-259,橘子,橘子,júzi,N,tangerine,生活,飲食
L0-260,西瓜,西瓜,xīguā,N,watermelon,生活,飲食
L0-261,柳橙,柳橙,liǔchéng,N,orange,生活,飲食
L0-262,香蕉,香蕉,xiāngjiāo,N,banana,生活,飲食
L0-263,草莓,草莓,cǎoméi,N,strawberry,生活,飲食
L0-264,番茄,番茄,fānqié,N,tomato,生活,飲食
L0-264,蕃茄,蕃茄,fānqié,N,tomato,生活,飲食
L0-265,蘋果,苹果,píngguǒ,N,apple,生活,飲食
L0-266,糖,糖,táng,N,"sugar, candy",生活,飲食
L0-267,甜,甜,tián,Vs,sweet,生活,飲食
L0-268,餓,饿,è,Vs,hungry,生活,飲食
L0-269,吃,吃,chī,V,to eat,生活,飲食
L0-270,喝,喝,hē,V,to drink,生活,飲食
L0-271,給,给,gěi,V,to give,生活,飲食
L0-272,同學,同学,tóngxué,N,classmate,生活,學校
L0-273,上課,上课,shàngkè,V,to go to class,生活,學校
L0-274,下課,下课,xiàkè,V,to dismiss,生活,學校
L0-275,上學,上学,shàngxué,V,to go to school,生活,學校
L0-276,放假,放假,fàngjià,V,to have day off,生活,學校
L0-277,放學,放学,fàngxué,V,to finish classes (for the day),生活,學校
L0-278,遊戲,游戏,yóuxì,N,game,生活,學校
L0-279,圖,图,tú,N,"picture, drawing",生活,學校
L0-280,字,字,zì,N,"character, word",生活,學校
L0-281,書,书,shū,N,book,生活,學校
L0-282,書包,书包,shūbāo,N,schoolbag,生活,學校
L0-283,課,课,kè,N,"course, class",生活,學校
L0-284,課本,课本,kèběn,N,textbook,生活,學校
L0-285,作業,作业,zuòyè,N,homework,生活,學校
L0-286,問題,问题,wèntí,N,"question, problem",生活,學校
L0-287,考試,考试,kǎoshì,N/V,"(to) exam, (to) test",生活,學校
L0-288,寫,写,xiě,V,to write,生活,學校
L0-289,學,学,xué,V,"to study, to learn",生活,學校
L0-290,讀,读,dú,V,to read,生活,學校
L0-291,念,念,niàn,V,to read out loud,生活,學校
L0-292,黑板,黑板,hēibǎn,N,blackboard,生活,學校
L0-293,文具,文具,wénjù,N,stationery,生活,學校
L0-294,紙,纸,zhǐ,N,paper,生活,學校
L0-295,筆,笔,bǐ,N,pen,生活,學校
L0-296,鉛筆,铅笔,qiānbǐ,N,pencil,生活,學校
L0-297,彩色筆,彩色笔,cǎisèbǐ,N,color pen,生活,學校
L0-298,尺,尺,chǐ,N,ruler,生活,學校
L0-299,橡皮,橡皮,xiàngpí,N,eraser,生活,學校
L0-299,橡皮擦,橡皮擦,xiàngpícā,N,eraser,生活,學校
L0-300,剪刀,剪刀,jiǎndāo,N,scissors,生活,學校
L0-301,剪,剪,jiǎn,V,to cut,生活,學校
L0-302,貼,贴,tiē,V,to paste,生活,學校
L0-303,玩,玩,wán,V,to play,生活,休閒活動
L0-304,追,追,zhuī,V,"to chase after, to pursue",生活,休閒活動
L0-305,跳舞,跳舞,tiàowǔ,V,to dance,生活,休閒活動
L0-306,踢,踢,tī,V,to kick,生活,休閒活動
L0-307,游,游,yóu,V,to swim,生活,休閒活動
L0-307,游泳,游泳,yóuyǒng,V,to swim,生活,休閒活動
L0-308,玩具,玩具,wánjù,N,toy,生活,休閒活動
L0-309,運動,运动,yùndòng,N/V,"sport, (to) exercise",生活,休閒活動
L0-309,運動,运动,yùndong,N/V,"sport, (to) exercise",生活,休閒活動
L0-310,球,球,qiú,N,ball,生活,休閒活動
L0-311,氣球,气球,qìqiú,N,balloon,生活,休閒活動
L0-312,皮球,皮球,píqiú,N,ruber ball,生活,休閒活動
L0-313,足球,足球,zúqiú,N,"soccer, football",生活,休閒活動
L0-314,棒球,棒球,bàngqiú,N,baseball,生活,休閒活動
L0-315,籃球,篮球,lánqiú,N,basketball,生活,休閒活動
L0-316,下棋,下棋,xiàqí,V,to play chess,生活,休閒活動
L0-317,畫,画,huà,V/N,"to draw, to paint; picture, drawing, painting",生活,休閒活動
L0-317,畫兒,画儿,huàr,V/N,"to draw, to paint; picture, drawing, painting",生活,休閒活動
L0-318,電影,电影,diànyǐng,N,"film, movie",生活,休閒活動
L0-319,音樂,音乐,yīnyuè,N,music,生活,休閒活動
L0-320,鋼琴,钢琴,gāngqín,N,piano,生活,休閒活動
L0-321,唱,唱,chàng,V,to sing,生活,休閒活動
L0-322,彈,弹,tán,V,to play (musical instruments),生活,休閒活動
L0-323,歌,歌,gē,N,song,生活,休閒活動
L0-324,養,养,yǎng,V,to raise,生活,休閒活動
L0-325,送,送,sòng,V,"to send, to give",生活,休閒活動
L0-326,生日,生日,shēngrì,N,birthday,生活,休閒活動
L0-327,禮物,礼物,lǐwù,N,"gift, present",生活,休閒活動
L0-328,新年,新年,xīnnián,N,New Year,生活,休閒活動
L0-329,過年,过年,guònián,N/V,to celebrate or spend New Year,生活,休閒活動
L0-330,生病,生病,shēngbìng,V,to be sick,生活,健康
L0-331,感冒,感冒,gǎnmào,V,to catch a cold,生活,健康
L0-332,打針,打针,dǎzhēn,V,to have an injection,生活,健康
L0-333,藥,药,yào,N,"medicine, drug",生活,健康
L0-335,車,车,chē,N,car,交通,交通工具
L0-335,車子,车子,chēzi,N,car,交通,交通工具
L0-336,船,船,chuán,N,"boat, ship",交通,交通工具
L0-337,火車,火车,huǒchē,N,train,交通,交通工具
L0-338,汽車,汽车,qìchē,N,car,交通,交通工具
L0-339,飛機,飞机,fēijī,N,airplane,交通,交通工具
L0-340,公車,公车,gōngchē,N,bus,交通,交通工具
L0-340,公共汽車,公共汽车,gōnggòngqìchē,N,bus,交通,交通工具
L0-341,腳踏車,脚踏车,jiǎotàchē,N,bicycle,交通,交通工具
L0-341,自行車,自行车,zìxíngchē,N,bicycle,交通,交通工具
L0-342,到,到,dào,V,"to arrive, to reach, to go to",交通,交通工具
L0-343,騎,骑,qí,V,to ride,交通,交通工具
L0-344,過,过,guò,V/Asp,to pass; aspect marker for indicating experience for something,交通,交通工具
L0-345,飛,飞,fēi,V,to fly,交通,交通工具
L0-347,雨,雨,yǔ,N,rain,自然,現象
L0-348,風,风,fēng,N,wind,自然,現象
L0-349,雪,雪,xuě,N,snow,自然,現象
L0-350,雲,云,yún,N,cloud,自然,現象
L0-351,太陽,太阳,tàiyáng,N,sun,自然,現象
L0-352,月亮,月亮,yuèliàng,N,moon,自然,現象
L0-352,月亮,月亮,yuèliang,N,moon,自然,現象
L0-353,星,星,xīng,N,star,自然,現象
L0-353,星星,星星,xīngxing,N,star,自然,現象
L0-354,火,火,huǒ,N,fire,自然,現象
L0-355,水,水,shuǐ,N,water,自然,現象
L0-356,冰,冰,bīng,N/Vs,ice,自然,現象
L0-357,春,春,chūn,N,spring,自然,季節
L0-357,春天,春天,chūntiān,N,spring,自然,季節
L0-358,夏,夏,xià,N,summer,自然,季節
L0-358,夏天,夏天,xiàtiān,N,summer,自然,季節
L0-359,秋,秋,qiū,N,"autumn, fall",自然,季節
L0-359,秋天,秋天,qiūtiān,N,"autumn, fall",自然,季節
L0-360,冬,冬,dōng,N,winter,自然,季節
L0-360,冬天,冬天,dōngtiān,N,winter,自然,季節
L0-361,天氣,天气,tiānqì,N,weather,自然,天氣
L0-362,冷,冷,lěng,Vs,cold,自然,天氣
L0-363,熱,热,rè,Vs,hot,自然,天氣
L0-364,陰天,阴天,yīntiān,N,cloudy,自然,天氣
L0-365,晴天,晴天,qíngtiān,N,sunny,自然,天氣
L0-366,下雨,下雨,xiàyǔ,V,to rain,自然,天氣
L0-367,下雪,下雪,xiàxuě,V,to snow,自然,天氣
L0-368,花,花,huā,N,flower,自然,植物
L0-369,草,草,cǎo,N,grass,自然,植物
L0-370,樹,树,shù,N,tree,自然,植物
L0-371,木,木,mù,N,wood,自然,植物
L0-371,木頭,木头,mùtou,N,wood,自然,植物
L0-372,葉,叶,yè,N,leaf,自然,植物
L0-372,葉子,叶子,yèzi,N,leaf,自然,植物
L0-373,動物,动物,dòngwù,N,animal,自然,動物
L0-374,虎,虎,hǔ,N,tiger,自然,動物
L0-374,老,老,lǎohǔ,N,tiger,自然,動物
L0-375,猴,猴,hóu,N,monkey,自然,動物
L0-375,猴子,猴子,hóuzi,N,monkey,自然,動物
L0-376,馬,马,mǎ,N,horse,自然,動物
L0-377,牛,牛,niú,N,cow,自然,動物
