ID,Affix,Level,Explanation,Words
44,~學,5,學科／專門的知識／學說,心理學、美學、生物學、經濟學、物理學、社會學、佛學、理學、史學、力學、人類學、儒學、語言學、遺傳學、武學、幾何學、神學、統計學、管理學、天文學、國學、政治學、法學、漢學、教育學、考古學、商學
45,~化,5,轉變成某種狀態或性質,現代化、全球化、合理化、自動化、標準化、僵化、漢化、多元化、戲劇化、個人化、國際化、社會化、多樣化、系統化、工業化、情緒化、軟化、民主化、自由化、數位化、硬化、淡化、暖化、人性化、商業化、女性化、西化、資訊化、本土化、男性化、科學化、商品化、大眾化、合法化、邊緣化、生活化、民營化、簡單化、正常化、高齡化、客製化、企業化、泡沫化、老化、美化、綠化
46,總~,5,統括／全部,總會、總經理、總部、總司令、總體、總管、總數、總公司、總計、總和、總額、總編輯
47,~者,5,人或事物的代稱,消費者、業者、譯者、舞者、工作者、長者、弱者、侍者、老者、、智者、強者、肇事者、編者、當事者、帶原者
48,~權,5,權利／權力,政權、版權、特權、主權、著作權、股權、實權、產權、職權、霸權、所有權、控制權、決定權、選擇權、自主權、女權、隱私權、父權、主導權、發言權、繼承權、投票權、專利權、經營權、選舉權、債權
49,~量,5,數量／數目,產量、劑量、分量、音量、銷售量、流量、容量、含量、份量、適量、成交量、工作量、需求量、發行量、運動量、生產量、水量、雨量、食量、酒量、庫存量
50,~感,5,自我認知的看法,安全感、罪惡感、成就感、滿足感、責任感、幽默感、挫折感、使命感、恐懼感、無力感、歸屬感、平衡感、失落感、自卑感、優越感、壓迫感、正義感、方向感、新鮮感、疏離感、真實感、信賴感、危機感、參與感、飽足感、榮譽感、存在感、節奏感
51,~品,5,某類東西的總稱,毒品、製品、藥品、藝術品、成品、紀念品、祭品、農產品、化妝品、禮品、貨品、必需品、戰利品、出版品、精品、犧牲品、供品、裝飾品、獎品、保養品、樣品、奢侈品、贈品、日用品、乳製品、產品、作品、用品、商品、物品、食品
52,~部2,5,單位／機構,經濟部、教育部、財政部、國防部、外交部、司令部、內政部、黨部、交通部、編輯部、財務部、農業部
53,~院,5,機關,研究院、行政院、法院、立法院、國務院、科學院、中研院、參議院、眾議院、監察院、司法院、考試院
54,~率,5,比例中相比的數,死亡率、佔有率、利率、速率、匯率、成長率、報酬率、成功率、發生率、失誤率、收視率、犯罪率、存活率、離婚率、獲利率、正確率、失業率、稅率、流動率、命中率、費率、自殺率、罹患率、打擊率、市占率、出生率
55,~社,5,為工作、生活或共同目標結合成的組織、團體,報社、公社、旅行社、合作社、雜誌社、通訊社、新聞社
56,~界,5,特定範圍／領域,企業界、自然界、學術界、科學界、教育界、醫學界、出版界、新聞界、心理學界、商業界、產業界、工業界、文化界、史學界、藝術界、金融界、工商界、電影界、廣告界、學界、商界、政界
57,~商,5,做生意的人,供應商、製造商、經銷商、書商、零售商、出版商、外商、台商、廣告商、批發商、代理商、開發商、貿易商、美商、建商、承包商
58,~科,5,類別／項目,外科、精神科、小兒科、內科、眼科、婦產科、神經科、醫科、文科、婦科、皮膚科、泌尿科、骨科、牙科、心臟科、理科、工科、農科、商科、復健科、耳鼻喉科
59,副~,5,居次／附帶的,副總裁、副總統、副院長、副主任、副刊、副總經理、副產品、副手、副主席、副部長、副局長、副校長、副董事長、副食品、副業、副總理、副處長、副主教、副秘書長
60,~觀,5,看法,價值觀、人生觀、宏觀、世界觀、道德觀、史觀、微觀、宇宙觀、審美觀、國際觀
61,~局,5,辦公單位,警察局、管理局、調查局、警局、新聞局、鐵路局、工業局、健保局、中情局、文化局、情報局、教育局
62,~業,5,工作職務,製造業、服務業、報業、工商業、漁業、出版業、紡織業、汽車業、零售業、金融業、礦業、手工業、餐飲業、電腦業、糖業、林業、重工業、鹽業、輕工業、科技業、商業、工業、農業、資訊業
63,~樂,5,表某種音樂的總稱,爵士樂、交響樂、搖滾樂、鄉村樂、古典樂、流行樂、國樂
64,~式2,5,儀式／樣式,開幕式、告別式、閉幕式
65,~制,5,制度,稅制、一夫一妻制、內閣制、總統制、共和制、 聯邦制、 邦聯制、徵兵制、募兵制
66,~心,5,思想、意念或感情,好奇心、同理心、自信心、自尊心、同情心、企圖心、平常心、虛榮心、慈悲心、責任心、公德心、事業心、包容心
67,~工,5,有專門技術或從事勞動生產的人,木工、女工、社工、技工、礦工、清潔工、臨時工、電工、水電工、搬運工、油漆工、水泥工、建築工、童工
68,~價,5,人、事、物所值的具體金錢數或抽象的地位、身分,售價、身價、物價、定價、市價、股價、天價、標價、票價、房價、報價、油價、差價
69,~迷,5,心醉於某種事物的人,球迷、影迷、歌迷、樂迷、電視迷、電影迷、電動迷、鐵道迷、航空迷
70,~史,6,過去的事跡或其書籍,清史、正史、野史、近代史、文學史、藝術史、發展史、病史、通史、思想史、現代史、文化史、家族史、人類史、世界史
71,~層,6,級／等次／量詞,深層、底層、雲層、斷層、年齡層、樓層、表層、大氣層、雙層、外層、頂層
72,~錄,6,記載事物的書籍、簿冊,實錄、回憶錄、備忘錄、啟示錄、筆錄、型錄、名錄
73,~體,6,物體的本質,共同體、記憶體、有機體、車體
