ID,Traditional,Simplified,Pinyin,POS,Meaning,Examples,Variants
B1L02-1-16,早上,早上,zǎoshàng,N,morning,,
B1L02-1-17,有,有,yǒu,V,to have,,
B1L02-1-18,沒,没,méi,V,not,,
B1L02-1-19,課,课,kè,N,class,B:我今天早上沒有課？ A:你今天早上有課嗎？,
B1L02-1-20,圖書館,图书馆,túshūguǎn,N,library,你幾點去圖書館？,
B1L02-1-21,中午,中午,zhōngwǔ,N,noon,,
B1L02-1-22,回,回,huí,V,to return,你中午回家嗎？,
B1L02-1-23,家,家,jiā,N,home; house,,
B1L02-1-24,家人,家人,jiārén,N,family members,,
B1L02-1-25,下午,下午,xiàwǔ,N,afternoon,,
B1L02-1-26,上午,上午,shàngwǔ,N,morning,,
B1L02-1-27,下課,下课,xiàkè,V-sep,class dismissed,,
B1L02-1-28,上課,上课,shàngkè,V-sep,to go to class; to attend class,,
B1L02-1-29,分,分,fēn,M,minute,我八點十分去學校。,
B1L02-1-30,幾點,几点,jǐdiǎn,Ph,what time?,A:現在幾點？ B:現在十點二十五分。,
B1L02-1-31,幾點鐘,几点钟,jǐ diǎnzhōng,Ph,what time?,,
B1L02-2-01,明天,明天,míngtiān,N,tomorrow,,
B1L02-2-02,昨天,昨天,zuótiān,N,yesterday,你昨天幾點回家？,
B1L02-2-03,週末,周末,zhōumò,N,weekend,,
B1L02-2-04,要,要,yào,Vaux,to want to verb/ do something,我要喝珍珠奶茶。,
B1L02-2-05,來,来,lái,V,to come,他今天不來學校嗎？,
B1L02-2-06,啊,啊,ā,Ptc,interjection,,
B1L02-2-07,的,的,de,Ptc,possessive particle,,
B1L02-2-08,生日,生日,shēngrì,N,birthday,,
B1L02-2-09,快樂,快乐,kuàilè,Vs,happy,啊！今天是你的生日。生日快樂！,
B1L02-2-10,晚上,晚上,wǎnshàng,N,evening; night,,
B1L02-2-11,問題,问题,wèntí,N,question; problem,老師：你們有問題嗎？學生：沒有。謝謝老師。,
B1L02-2-12,沒問題,没问题,méi wèntí,Ph,No problem,,
B1L02-2-13,明天見,明天见,míngtiān jiàn,Ph,See you tomorrow,,
B1L02-2-14,再見,再见,zàijiàn,Ph,Good-bye.,,
B1L02-3-01,做,做,zuò,V,to make; to do,你今天要做什麼？,
B1L02-3-02,歲,岁,suì,M,measure word for age,我爸爸五十歲，我媽媽四十八歲。,
B1L02-3-03,起床,起床,qǐchuáng,Vp,to get up,我今天七點起床。,
B1L02-3-04,午飯,午饭,wǔfàn,N,lunch,,
B1L02-3-05,早飯,早饭,zǎofàn,N,breakfast,,
B1L02-3-06,晚飯,晚饭,wǎnfàn,N,dinner,,
B1L02-3-07,飯,饭,fàn,N,cooked rice; meal,,
B1L02-3-08,做飯,做饭,zuòfàn,V-sep,to cook,,
B1L02-3-09,睡覺,睡觉,shuìjiào,V-sep,to sleep; to go to bed,宜文昨天幾點睡覺？,
B1L02-3-10,忙,忙,máng,Vs,busy,媽媽忙不忙？,
B1L02-3-11,累,累,lèi,Vs,tired,中明今天很累。,
B1L03-1-01,買,买,mǎi,V,to buy,你今天要買什麼？,
B1L03-1-02,禮物,礼物,lǐwù,N,gift,我要去買禮物。,
B1L03-1-03,想（要）,想（要）,xiǎng(yào),Vaux,to want to; would like to,我想喝珍珠奶茶。,"[[""想"", ""xiǎng""], [""想要"", ""xiǎngyào""]]"
B1L03-1-04,送,送,sòng,V,to give as a present,明天是媽媽的生日，你想送她什麼禮物？,
B1L03-1-05,個,个,ge,M,general measure word,我有一個英國朋友。,
B1L03-1-06,看,看,kàn,V,to read; to look; to watch,他很喜歡看書。,
B1L03-1-07,書,书,shū,N,book (M: 本běn),他很喜歡看書。,
B1L03-1-08,兩,两,liǎng,N,two (for quantity),我想買兩本中文書、一本英文書。,
B1L03-1-09,本,本,běn,M,measure word for books,我想買兩本中文書、一本英文書。,
B1L03-1-10,中文,中文,Zhōngwén,N,Chinese,我想買兩本中文書、一本英文書。,
B1L03-1-11,英文,英文,Yīngwén,N,English,我想買兩本中文書、一本英文書。,
B1L03-1-12,一些,一些,yìxiē,Det,some (for quantity),我有一些中文書。,
B1L03-1-13,花,花,huā,N,flower (M: 朵duǒ),我送媽媽一朵花。,
B1L03-1-14,朵,朵,duǒ,M,measure word for flowers,我送媽媽一朵花。,
B1L03-1-15,和,和,hé/hàn,Conj,and,他送我花和一本書。,"[[""和"", ""hé""], [""和"", ""hàn""]]"
B1L03-1-16,大,大,dà,Vs,big,我要買大蛋糕，不要買小蛋糕。,
B1L03-1-17,小,小,xiǎo,Vs,small,我要買大蛋糕，不要買小蛋糕。,
B1L03-1-18,蛋糕,蛋糕,dàngāo,N,cake,我要買大蛋糕，不要買小蛋糕。,
B1L03-1-19,蛋,蛋,dàn,N,egg,我要買蛋。,
B1L03-1-20,一起,一起,yìqǐ,Adv,together,昨天我們一起去圖書館。,
B1L03-1-21,啊,啊,ā,Ptc,"phrase final particle, indicating affirmation",好啊，我們一起吃蛋糕。,
B1L03-2-01,這,这,zhè/zhèi,Det,this,我要買這本書，不要買那本書。,"[[""這"", ""zhè""], [""這"", ""zhèi""]]"
B1L03-2-02,那,那,nà/nèi,Det,that,我要買這本書，不要買那本書。,"[[""那"", ""nà""], [""那"", ""nèi""]]"
B1L03-2-03,種,种,zhǒng,M,species; kind; sort,你喜歡喝哪種茶？,
B1L03-2-04,鉛筆,铅笔,qiānbǐ,N,pencil (M: 枝zhī),A:你要哪種筆？ B:我要鉛筆。,
B1L03-2-05,筆,笔,bǐ,N,pen (M: 枝zhī),A:你要哪種筆？ B:我要鉛筆。,
B1L03-2-06,怎麼樣,怎么样,zěnmeyàng,Vs,How about?,台灣的珍珠奶茶怎麼樣？,
B1L03-2-07,東西,东西,dōngxi,N,thing; stuff,你要買什麼東西？,
B1L03-2-08,枝,枝,zhī,M,measure word for pens,我有兩枝鉛筆。,
B1L03-2-09,塊,块,kuài,M,measure word for money,一枝筆幾塊錢？,
B1L03-2-10,錢,钱,qián,N,money,一枝筆幾塊錢？,
B1L03-2-11,元,元,yuán,M,unit of money,這本書八十元。,
B1L03-2-12,便宜,便宜,piányí,Vs,cheap; inexpensive,A:這種蛋糕很貴嗎？ B:是啊，這種蛋糕不便宜。,
B1L03-2-13,貴,贵,guì,Vs,expensive,A:這種蛋糕很貴嗎？ B:是啊，這種蛋糕不便宜。,
B1L03-2-14,顏色,颜色,yánsè,N,color,你喜歡什麼顏色？,
B1L03-2-15,紅色,红色,hóngsè,N,red color,A:你喜歡紅色的筆嗎？ B:我喜歡白的。,
B1L03-2-16,紅,红,hóng,Vs,red,A:你喜歡紅色的筆嗎？ B:我喜歡白的。,
B1L03-2-17,白色,白色,báisè,N,white color,A:你喜歡紅色的筆嗎？ B:我喜歡白的。,
B1L03-2-18,白,白,bái,Vs,white,A:你喜歡紅色的筆嗎？ B:我喜歡白的。,
B1L03-2-19,都,都,dōu,Adv,all; both,紅色的花、白色的花都很漂亮。,
B1L03-2-20,好看,好看,hǎokàn,Vs,good-looking; beautiful; pretty,這朵花很好看。那個學生很好看。,
B1L03-2-21,常（常）,常（常）,cháng(cháng),Adv,often,我們常常一起去圖書館。,"[[""常常"", ""chángcháng""], [""常"", ""cháng""]]"
B1L03-2-22,穿,穿,chuān,V,to wear,這件衣服的顏色很漂亮。,
B1L03-2-23,衣服,衣服,yīfu,N,clothes (M: 件jiàn),這件衣服的顏色很漂亮。,
B1L03-2-24,件,件,jiàn,M,measure word for clothes,這件衣服的顏色很漂亮。,
B1L03-3-01,請,请,qǐng,V,to invite; to treat,他請我去他家玩。我請他喝台灣茶。,
B1L03-3-02,玩,玩,wán,V,to play,我今天晚上要去同學家玩。,
B1L03-3-03,這些,这些,zhèxiē/zhèixiē,Det,these,這些是中文書，那些是英文書。,"[[""這些"", ""zhèxiē""], [""這些"", ""zhèixiē""]]"
B1L03-3-04,那些,那些,nàxiē/nèixiē,Det,those,這些是中文書，那些是英文書。,"[[""那些"", ""nàxiē""], [""那些"", ""nèixiē""]]"
B1L03-3-05,點心,点心,diǎnxīn,N,snack; light refreshments,甜的點心叫甜點。,
B1L03-3-06,甜點,甜点,tiándiǎn,N,dessert,甜的點心叫甜點。,
B1L03-3-07,甜,甜,tián,Vs,sweet,甜的點心叫甜點。,
B1L03-3-08,開心,开心,kāixīn,Vs,happy,他今天很開心。,
B1L04-1-01,咖啡,咖啡,kāfēi,N,coffee,,
B1L04-1-02,還是,还是,háishì,Conj,or (for question),你要喝什麼？咖啡還是茶？,
B1L04-1-03,天氣,天气,tiānqì,N,weather,,
B1L04-1-04,好,好,hǎo,Adv,very,,
B1L04-1-05,熱,热,rè,Vs,hot,今天天氣好熱。,
B1L04-1-06,冷,冷,lěng,Vs,cold,,
B1L04-1-07,飲料,饮料,yǐnliào,N,beverage,,
B1L04-1-08,也,也,yě,Adv,also; too; as well,我很忙，也很累。,
B1L04-1-09,餓,饿,è,Vs,hungry,,
B1L04-1-10,渴,渴,kě,Vs,thirsty,現在我不渴，我很餓。,
B1L04-1-11,（一）點（兒）,（一）点（儿）,(yì)diǎn(r),Det,a little; a bit,我想喝一點兒飲料。,"[[""一點兒"", ""yìdiǎnr""], [""一點"", ""yìdiǎn""], [""點兒"", ""diǎnr""], [""點"", ""diǎn""]]"
B1L04-1-12,餐廳/飯館,餐厅/饭馆,cāntīng/fànguǎn,N,restaurant (M: 家),,"[[""餐廳"", ""cāntīng""], [""飯館"", ""fànguǎn""]]"
B1L04-1-13,家,家,jiā,M,measure word of restaurants,你想去哪家餐廳？,
B1L04-1-14,太,太,tài,Adv,too,天氣太熱，我要喝飲料。,
B1L04-1-15,多,多,duō,Vs-pred,many; much,,
B1L04-1-16,少,少,shǎo,Vs-pred,less; little,我的中文書很多，你要不要看？,
B1L04-1-17,麵,面,miàn,N,noodles,我爸爸喜歡吃飯，我媽媽喜歡吃麵。,
B1L04-1-18,好吃,好吃,hǎochī,Vs,good to eat / delicious,這家餐廳的甜點很好吃。,
B1L04-1-19,好喝,好喝,hǎohē,Vs,good to drink,這種飲料很好喝。,
B1L04-1-20,了,了,le,Ptc,"used after a Vs, preceded by 太",我太累了，不想去玩。,
B1L04-1-21,最,最,zuì,Adv,most,我爸爸、媽媽有三個孩子，我最愛看書。,
B1L04-1-22,賣,卖,mài,V,to sell,這家餐廳賣飲料嗎？,
B1L04-1-23,牛肉麵,牛肉面,niúròu miàn,N,beef noodles,,
B1L04-2-01,點,点,diǎn,V,to order from a menu,,
B1L04-2-02,碗,碗,wǎn,N/M,bowl,A:你想點什麼？ B:我想點一碗牛肉麵。,
B1L04-2-03,杯,杯,bēi,M,cup of,我要一杯珍珠奶茶。,
B1L04-2-04,杯子,杯子,bēizi,N,cup,,
B1L04-2-05,瓶子,瓶子,píngzi,N,bottle,,
B1L04-2-06,瓶,瓶,píng,M,bottle of,你很渴嗎？我有一瓶飲料，你要不要喝？,
B1L04-2-07,女,女,nǚ,N,female,我的女朋友很喜歡喝珍珠奶茶。,
B1L04-2-08,男,男,nán,N,male,,
B1L04-2-09,位,位,wèi,M,honorific measure word for people,我有一位英國老師和兩位日本老師。,
B1L04-2-10,紅茶,红茶,hóngchá,N,black tea,,
B1L04-2-11,綠茶,绿茶,lǜchá,N,green tea,,
B1L04-2-12,綠色,绿色,lǜsè,N,red,,
B1L04-2-13,請,请,qǐng,V,please,請給我一杯綠茶。,
B1L04-2-14,給,给,gěi,V,to give,請給我一杯綠茶。,
B1L04-2-15,一共,一共,yígòng,Adv,altogether; in total,這些東西一共多少錢？,
B1L04-2-16,多少,多少,duōshǎo,N,how many; how much,這些東西一共多少錢？,
B1L04-2-17,百,百,bǎi,N,hundred,,
B1L04-2-18,千,千,qiān,N,thousand,,
B1L04-2-19,萬,万,wàn,N,ten thousand,,
B1L04-2-20,零,零,líng,N,zero,這些東西一共兩萬三千五百零五塊。,
B1L04-2-21,找錢,找钱,zhǎoqián,V-sep,to give change,他找你多少錢？,
B1L04-2-22,您,您,nín,N,You (honorific),,
B1L04-2-23,多,多,duō,N,more; over,這個杯子一百多塊錢。,
B1L04-3-01,夏天,夏天,xiàtiān,N,summer,,
B1L04-3-02,春天,春天,chūntiān,N,spring,,
B1L04-3-03,秋天,秋天,qiūtiān,N,autumn; fall,,
B1L04-3-04,冬天,冬天,dōngtiān,N,winter,秋天的天氣最好，不冷也不熱。,
B1L04-3-05,店/商店,店/商店,diàn/shāngdiàn,N,store; shop (M: 家),這家商店的東西很便宜。,"[[""店"", ""diàn""], [""商店"", ""shāngdiàn""]]"
B1L04-3-06,果汁,果汁,guǒzhī,N,juice,,
B1L04-3-07,牛奶,牛奶,niúnǎi,N,milk,你要果汁還是牛奶？,
B1L04-3-08,有的,有的,yǒude,Det,some; some of,這些水果，有的不甜，我不想吃。,
B1L04-3-09,每,每,měi,Det,every; each; per,我每個星期都有中文課。,
B1L04-3-10,天,天,tiān,N/M,day,我爸爸每天早上都喝一杯咖啡。,
B1L05-1-01,錢包,钱包,qiánbāo,N,wallet; purse,李小姐的錢包是紅色的。,
B1L05-1-02,在,在,zài,Vst/Prep,(to be located) at; in; on,他在學校，不在家。我在家看書。,
B1L05-1-03,哪裡/哪兒,哪里/哪儿,nǎlǐ/nǎr,N,where,我的錢包在哪裡？,"[[""哪裡"", ""nǎlǐ""], [""哪兒"", ""nǎr""]]"
B1L05-1-04,聽,听,tīng,V,to listen,我喜歡聽音樂。,
B1L05-1-05,音樂,音乐,yīnyuè,N,music,我喜歡聽音樂。,
B1L05-1-06,下午茶,下午茶,xiàwǔ chá,N,afternoon tea,,
B1L05-1-07,不錯,不错,búcuò,Vs,not bad,這本書很不錯。,
B1L05-1-08,咖啡廳,咖啡厅,kāfēitīng,N,café,我喜歡去咖啡廳看書。,
B1L05-1-09,那裡/那兒,那里/那儿,nàlǐ/nàr,N,there,那家飲料店的飲料很好喝，我們去那裡買。,"[[""那裡"", ""nàlǐ""], [""那兒"", ""nàr""]]"
B1L05-1-10,這裡/這兒,这里/这儿,zhèlǐ/zhèr,N,here,我在學校，你要來這裡嗎？,"[[""這裡"", ""zhèlǐ""], [""這兒"", ""zhèr""]]"
B1L05-1-11,冰淇淋,冰淇淋,bīngqílín,N,ice cream,我和朋友常常一起去吃冰淇淋。,
B1L05-1-12,巧克力,巧克力,qiǎokèlì,N,chocolate,我很喜歡這家店的巧克力蛋糕。,
B1L05-1-13,半,半,bàn,N,half,現在十二點半。,
B1L05-1-14,吧,吧,ba,Ptc,final particle for suggestion,這支筆太貴了，你買便宜的吧。,
B1L05-1-15,有空,有空,yǒukòng,Ph,free; at leisure; available,A:你下午有空嗎？ B:我沒有空，我有中文課。,
B1L05-1-16,沒（有）空,没（有）空,méi(yǒu) kòng,Ph,unavailable; not free,A:你下午有空嗎？ B:我沒有空，我有中文課。,"[[""沒有空"", ""méiyǒu kòng""], [""沒空"", ""méi kòng""]]"
B1L05-2-01,跟,跟,gēn,Conj,and,這個蛋糕跟這瓶果汁一共多少錢？,
B1L05-2-02,可是,可是,kěshì,Conj,but,我想去朋友家玩，可是沒有空。,
B1L05-2-03,房間,房间,fángjiān,N,"room (M: 個,間jiān)",我家有三間房間。,
B1L05-2-04,間,间,jiān,M,measure word for rooms,我家有三間房間。,
B1L05-2-05,房子,房子,fángzi,N,"building; house (M: 棟dòng,個)",這棟房子不大，可是很貴。,
B1L05-2-06,棟,栋,dòng,M,measure word for buildings,這棟房子不大，可是很貴。,
B1L05-2-07,裡（面）,里（面）,lǐ(miàn),N,inside; in,你的書在房間裡。,"[[""裡面"", ""lǐmiàn""], [""裡"", ""lǐ""]]"
B1L05-2-08,外（面）,外（面）,wài(miàn),N,outside,他在房間外面做什麼？,"[[""外面"", ""wàimiàn""], [""外"", ""wài""]]"
B1L05-2-09,客廳,客厅,kètīng,N,living room (M: 間jiān),爸爸在客廳喝咖啡。,
B1L05-2-10,桌子,桌子,zhuōzi,N,table (M: 張zhāng),我要買一張桌子跟四張椅子。,
B1L05-2-11,椅子,椅子,yǐzi,N,chair (M: 張zhāng),我要買一張桌子跟四張椅子。,
B1L05-2-12,張,张,zhāng,M,measure word for tables and chairs,我要買一張桌子跟四張椅子。,
B1L05-2-13,上（面）,上（面）,shàng(miàn),N,above; over; on top of; on the surface of,你的筆在那本書上面。,"[[""上面"", ""shàngmiàn""], [""上"", ""shàng""]]"
B1L05-2-14,有,有,yǒu,Vst,there is/are; to exist,你的房間裡有幾張椅子？,
B1L05-2-15,哥哥,哥哥,gēge,N,elder brother,我媽媽有一個哥哥跟兩個妹妹。,
B1L05-2-16,姐姐/姊姊,姐姐/姊姊,jiějie,N,elder sister,,"[[""姐姐"", ""jiějie""], [""姊姊"", ""jiějie""]]"
B1L05-2-17,弟弟,弟弟,dìdi,N,younger brother,,
B1L05-2-18,妹妹,妹妹,mèimei,N,younger sister,我媽媽有一個哥哥跟兩個妹妹。,
B1L05-2-19,沙發,沙发,shāfā,N,sofa (M: 張zhāng),客廳裡面有兩張沙發。,
B1L05-2-20,下（面）,下（面）,xià(miàn),N,below; under; underneath,你的錢包在那件衣服下面。,"[[""下面"", ""xiàmiàn""], [""下"", ""xià""]]"
B1L05-2-21,旁邊,旁边,pángbiān,N,side; by the side of; next to,我旁邊有日本同學，前面跟後面都有美國同學。,
B1L05-2-22,前（面）,前（面）,qián(miàn),N,the front; the front side; ahead; in front,我旁邊有日本同學，前面跟後面都有美國同學。,"[[""前面"", ""qiánmiàn""], [""前"", ""qián""]]"
B1L05-2-23,後（面）,后（面）,hòu(miàn),N,at the back; behind,我旁邊有日本同學，前面跟後面都有美國同學。,"[[""後面"", ""hòumiàn""], [""後"", ""hòu""]]"
B1L05-2-24,幫,帮,bāng,V,to help,他常常幫朋友，是一個好人。,
B1L05-2-25,找,找,zhǎo,V,to look for,你要找什麼？我幫你找。,
B1L05-2-26,廚房,厨房,chúfáng,N,kitchen (M: 間jiān),我家的廚房很大，我常常在家做飯。,
B1L05-2-27,再,再,zài,Adv,again,那家咖啡廳怎麼樣？你想再去嗎？,
B1L05-3-01,床,床,chuáng,N,bed (M: 張zhāng),哥哥喜歡在床上看書。,
B1L05-3-02,家具,家具,jiājù,N,furniture,這個新房子沒有很多家具。,
B1L05-3-03,電視（機）,电视（机）,diànshì(jī),N,TV (television) (M: 台),我想買一台電視機。,"[[""電視"", ""diànshì""], [""電視機"", ""diànshìjī""]]"
B1L05-3-04,台,台,tái,M,"measure word for TV sets, computers etc.",我想買一台電視機。,
B1L05-3-05,窗戶,窗户,chuānghù,N,window,窗戶前面有很多花，很漂亮。,
B1L05-3-06,門,门,mén,N,door,弟弟在門的後面。,
B1L05-3-07,貓,猫,māo,N,cat (M: 隻zhī),我家有一隻貓、兩隻狗和三隻鳥。,
B1L05-3-08,狗,狗,gǒu,N,dog (M: 隻zhī),我家有一隻貓、兩隻狗和三隻鳥。,
B1L05-3-09,鳥,鸟,niǎo,N,bird (M: 隻zhī),我家有一隻貓、兩隻狗和三隻鳥。,
B1L05-3-10,隻,只,zhī,M,measure word for animals,我家有一隻貓、兩隻狗和三隻鳥。,
B1L05-3-11,曬太陽/晒太陽,晒太阳/晒太阳,shài tàiyáng,Ph,to bask in the sun,我的貓在房子外面曬太陽。,"[[""曬太陽"", ""shài tàiyáng""], [""晒太陽"", ""shài tàiyáng""]]"
B1L05-3-12,太陽,太阳,tàiyáng,N,the sun,我的貓在房子外面曬太陽。,
B1L06-1-01,打,打,dǎ,V,to hit; to beat; to play (ball games),,
B1L06-1-02,網球,网球,wǎngqiú,N,tennis,,
B1L06-1-03,球,球,qiú,N,ball,我跟同學常常一起在學校打網球。,
B1L06-1-04,籃球,篮球,lánqiú,N,basketball,我每個週末去學校打籃球。,
B1L06-1-05,棒球,棒球,bàngqiú,N,baseball,我弟弟喜歡打棒球，我想送他一個棒球。,
B1L06-1-06,足球,足球,zúqiú,N,football; soccer,,
B1L06-1-07,踢,踢,tī,V,to kick,那個孩子很愛踢足球。,
B1L06-1-08,海邊,海边,hǎibiān,N,seaside; beach,今天天氣不錯，我們去海邊曬太陽吧。,
B1L06-1-09,海,海,hǎi,N,ocean; sea,這個週末我們一起去看海，怎麼樣？,
B1L06-1-10,山,山,shān,N,mountain,,
B1L06-1-11,風景,风景,fēngjǐng,N,scenery; landscapes,你喜歡山上的風景還是海邊的風景？,
B1L06-1-12,游泳,游泳,yóuyǒng,V-sep,to swim,天氣好熱，我們去游泳，好不好？,
B1L06-1-13,會,会,huì,Vaux,to be able to; can,我不會游泳，你會嗎？,
B1L06-1-14,得,得,de,Ptc,complement marker,今天我去朋友家玩得很開心。,
B1L06-1-15,跑步,跑步,pǎobù,Vi,to run,我每個星期都去學校跑步。,
B1L06-1-16,跑,跑,pǎo,Vi,to run,,
B1L06-1-17,慢,慢,màn,Vs,slow; slowly,我妹妹跑得很慢。,
B1L06-1-18,快,快,kuài,Vs,fast; quick,她看書看得很快。,
B1L06-1-19,說,说,shuō,V,to say; to speak; to talk,我朋友說這家餐廳的咖啡很好喝。,
B1L06-1-20,說話,说话,shuōhuà,V-sep,to talk; to speak,我男朋友不太喜歡說話。,
B1L06-2-01,電影,电影,diànyǐng,N,movie (M: 部bù),我跟媽媽明天下午要一起去看電影。,
B1L06-2-02,部,部,bù,M,measure word for movies,,
B1L06-2-03,電影院,电影院,diànyǐngyuàn,N,movie theater; cinema (M: 家),我們學校旁邊有一家電影院。,
B1L06-2-04,有趣,有趣,yǒuqù,Vs,interesting,王老師的課很有趣，每個學生都喜歡她。,
B1L06-2-05,覺得,觉得,juéde,Vst,to feel; to think,我覺得這部電影很有趣，你覺得呢 ？,
B1L06-2-06,有（一）點（兒）,有（一）点（儿）,yǒu(yì)diǎn(r),Adv,a little,那家店的冰淇淋很好吃，可是有點兒貴。,"[[""有一點"", ""yǒuyìdiǎn""], [""有點"", ""yǒudiǎn""], [""有點兒"", ""yǒudiǎnr""], [""有一點兒"", ""yǒuyìdiǎnr""]]"
B1L06-2-07,休息,休息,xiūxí,Vi,to take a rest,我很累，想在房間休息。,
B1L06-2-08,上網,上网,shàngwǎng,V-sep,to use /surf the internet,我常常在咖啡廳上網、看書。,
B1L06-2-09,電腦,电脑,diànnǎo,N,computer (M: 部bù),我要買一部新電腦。,
B1L06-2-10,手機,手机,shǒujī,N,cell phone (M: 支zhī),我有手機，可是沒有電腦。,
B1L06-2-11,支,支,zhī,M,measure word for cell phone,,
B1L06-2-12,應該,应该,yīnggāi,Vaux,should; ought to,我們應該常常說請、謝謝。,
B1L06-2-13,運動,运动,yùndòng,Vi,to exercise,我每天早上七點去學校運動。,
